Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2010,5,2,Monday 19 April 19:20 (UTC+12),,Southern Steel,New Zealand,41-56,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Stadium Southland, Invercargill"
2010,6,2,Monday 19 April 19:05 (UTC+10),,Melbourne Vixens,Australia,62-51,Northern Mystics,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2010,6,2,Saturday 24 April 14:20 (UTC+12),,Northern Mystics,New Zealand,59-50,Canterbury Tactix,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2010,6,2,Sunday 25 April 14:20 (UTC+10),,Queensland Firebirds,Australia,62-41,Melbourne Vixens,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2010,6,2,Monday 26 April 19:20 (UTC+12),,Central Pulse,New Zealand,40-64,Southern Steel,New Zealand,Southern Steel,New Zealand,"TSB Bank Arena, Wellington"
2010,7,2,Monday 26 April 18:05 (UTC+8),,West Coast Fever,Australia,37-57,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2010,7,2,Saturday 1 May 14:20 (UTC+12),,Canterbury Tactix,New Zealand,38-66,Southern Steel,New Zealand,Southern Steel,New Zealand,"Westpac Arena, Christchurch"
2010,7,2,Sunday 2 May 14:50 (UTC+10),,New South Wales Swifts,Australia,56-42,Melbourne Vixens,Australia,New South Wales Swifts,Australia,"Acer Arena, Sydney"
2010,7,2,Monday 3 May 19:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,49-46,Northern Mystics,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2010,8,2,Monday 3 May 19:05 (UTC+10),,Queensland Firebirds,Australia,63-57,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2010,8,2,Saturday 8 May 14:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,56-44,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2010,8,2,Sunday 9 May 14:50 (UTC+10),,New South Wales Swifts,Australia,60-44,Adelaide Thunderbirds,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2010,8,2,Monday 10 May 19:20 (UTC+12),,Southern Steel,New Zealand,49-52,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Stadium Southland, Invercargill"
2010,9,2,Monday 10 May 19:05 (UTC+10),,Melbourne Vixens,Australia,53-56,West Coast Fever,Australia,West Coast Fever,Australia,"Hisense Arena, Melbourne"
2010,9,2,Saturday 15 May 14:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,72-52,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2010,9,2,Sunday 16 May 14:20 (UTC+9:30),,Adelaide Thunderbirds,Australia,58-47,Melbourne Vixens,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2010,9,2,Monday 17 May 19:20 (UTC+12),,Northern Mystics,New Zealand,61-60,Central Pulse,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2010,10,2,Monday 17 May 19:05 (UTC+10),,New South Wales Swifts,Australia,44-40,Queensland Firebirds,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2010,10,3,Saturday 22 May 14:20 (UTC+12),,Central Pulse,New Zealand,45-43,Canterbury Tactix,New Zealand,Central Pulse,New Zealand,"TSB Bank Arena, Wellington"
2010,10,3,Sunday 23 May 14:20 (UTC+9:30),,Adelaide Thunderbirds,Australia,53-51,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2010,10,3,Monday 24 May 19:20 (UTC+12),,Southern Steel,New Zealand,52-47,Waikato Bay of Plenty Magic,New Zealand,Southern Steel,New Zealand,"Stadium Southland, Invercargill"
2010,10,3,Monday 24 May 18:05 (UTC+8),,West Coast Fever,Australia,52-61,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Challenge Stadium, Perth"
2010,11,3,Saturday 29 May 14:20 (UTC+12),,Northern Mystics,New Zealand,48-54,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Trusts Stadium, Auckland"
2010,11,3,Sunday 30 May 14:20 (UTC+9:30),,Adelaide Thunderbirds,Australia,58-34,Canterbury Tactix,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
